candle_date_time_kst,opening_price,trade_price,high_price,change_rate,market,candle_date_time_utc,prev_closing_price,candle_acc_trade_volume,change_price,low_price,candle_acc_trade_price,timestamp
2025-10-22T09:00:00,3648.00000000,3583.00000000,3674.00000000,-0.0178179825,KRW-XRP,2025-10-22T00:00:00,3648.00000000,73570890.76534137,-65.00000000,3550.00000000,265916357675.06675565,1761177599982,
2025-10-21T09:00:00,3740.00000000,3648.00000000,3766.00000000,-0.0245989305,KRW-XRP,2025-10-21T00:00:00,3740.00000000,100120238.78721136,-92.00000000,3620.00000000,368745784292.81491161,1761091199825,
2025-10-20T09:00:00,3626.00000000,3740.00000000,3816.00000000,0.0314396029,KRW-XRP,2025-10-20T00:00:00,3626.00000000,94618322.96030262,114.00000000,3583.00000000,349438748767.99831837,1761004799971,
2025-10-19T09:00:00,3602.00000000,3626.00000000,3659.00000000,0.0069425160,KRW-XRP,2025-10-19T00:00:00,3601.00000000,70200732.04169251,25.00000000,3520.00000000,252687792945.42340538,1760918399346,
2025-10-18T09:00:00,3527.00000000,3601.00000000,3654.00000000,0.0206916100,KRW-XRP,2025-10-18T00:00:00,3528.00000000,65907914.01102586,73.00000000,3521.00000000,236957299320.94027335,1760831999896,
2025-10-17T09:00:00,3561.00000000,3528.00000000,3660.00000000,-0.0095451993,KRW-XRP,2025-10-17T00:00:00,3562.00000000,227890273.26271724,-34.00000000,3372.00000000,793846598697.88889404,1760745598457,
2025-10-16T09:00:00,3671.00000000,3562.00000000,3725.00000000,-0.0299564270,KRW-XRP,2025-10-16T00:00:00,3672.00000000,130492600.60477543,-110.00000000,3517.00000000,473502890381.43476647,1760659199685,
2025-10-15T09:00:00,3767.00000000,3672.00000000,3810.00000000,-0.0252190072,KRW-XRP,2025-10-15T00:00:00,3767.00000000,88962803.35612788,-95.00000000,3650.00000000,332506068072.93272969,1760572799914,
2025-10-14T09:00:00,3885.00000000,3767.00000000,3911.00000000,-0.0301235839,KRW-XRP,2025-10-14T00:00:00,3884.00000000,163229018.10757267,-117.00000000,3667.00000000,613376074800.89104208,1760486399553,
2025-10-13T09:00:00,3821.00000000,3884.00000000,3963.00000000,0.0164878304,KRW-XRP,2025-10-13T00:00:00,3821.00000000,143497739.79159886,63.00000000,3805.00000000,557208374466.29482629,1760399999436,
2025-10-12T09:00:00,3673.00000000,3821.00000000,3876.00000000,0.0400108873,KRW-XRP,2025-10-12T00:00:00,3674.00000000,230826083.23915764,147.00000000,3550.00000000,857217096256.59406483,1760313599853,
2025-10-11T09:00:00,3694.00000000,3674.00000000,3817.00000000,-0.0037960954,KRW-XRP,2025-10-11T00:00:00,3688.00000000,308398219.22462050,-14.00000000,3480.00000000,1135562727286.83570911,1760227199212,
2025-10-10T09:00:00,4096.00000000,3688.00000000,4120.00000000,-0.099609375,KRW-XRP,2025-10-10T00:00:00,4096.00000000,377560801.38679383,-408.00000000,3013.00000000,1419418322850.72633453,1760140800010,
2025-10-09T09:00:00,4158.00000000,4096.00000000,4158.00000000,-0.0146740438,KRW-XRP,2025-10-09T00:00:00,4157.00000000,72436218.08508248,-61.00000000,4067.00000000,297723273174.25813935,1760054399657,
2025-10-08T09:00:00,4132.00000000,4157.00000000,4208.00000000,0.0058069199,KRW-XRP,2025-10-08T00:00:00,4133.00000000,45234549.91915958,24.00000000,4131.00000000,188470444243.35703980,1759967999657,
2025-10-07T09:00:00,4262.00000000,4133.00000000,4283.00000000,-0.0302674801,KRW-XRP,2025-10-07T00:00:00,4262.00000000,105532333.09477733,-129.00000000,4130.00000000,444073567295.51801645,1759881599407,
2025-10-06T09:00:00,4257.00000000,4262.00000000,4324.00000000,0.0011745361,KRW-XRP,2025-10-06T00:00:00,4257.00000000,72331626.99858901,5.00000000,4250.00000000,309613351137.40551387,1759795199729,
2025-10-05T09:00:00,4244.00000000,4257.00000000,4357.00000000,0.0030631480,KRW-XRP,2025-10-05T00:00:00,4244.00000000,95459135.33362290,13.00000000,4221.00000000,409718240553.66915037,1759708799830,
2025-10-04T09:00:00,4311.00000000,4244.00000000,4325.00000000,-0.0155416377,KRW-XRP,2025-10-04T00:00:00,4311.00000000,67051496.25238349,-67.00000000,4210.00000000,286113828456.01727105,1759622399861,
2025-10-03T09:00:00,4307.00000000,4311.00000000,4368.00000000,0.0009287207,KRW-XRP,2025-10-03T00:00:00,4307.00000000,97730948.48858680,4.00000000,4243.00000000,420340890109.66500609,1759535999759,
2025-10-02T09:00:00,4186.00000000,4307.00000000,4379.00000000,0.0284145177,KRW-XRP,2025-10-02T00:00:00,4188.00000000,133765872.54757369,119.00000000,4171.00000000,569006858215.10115225,1759449599690,
2025-10-01T09:00:00,4065.00000000,4188.00000000,4197.00000000,0.0300049188,KRW-XRP,2025-10-01T00:00:00,4066.00000000,101734318.13936130,122.00000000,4030.00000000,420911288263.69962671,1759363199989,
2025-09-30T09:00:00,4107.00000000,4066.00000000,4135.00000000,-0.0099829559,KRW-XRP,2025-09-30T00:00:00,4107.00000000,61290947.23217277,-41.00000000,4043.00000000,250612703040.69417499,1759276799566,
2025-09-29T09:00:00,4103.00000000,4107.00000000,4183.00000000,0.0007309942,KRW-XRP,2025-09-29T00:00:00,4104.00000000,83361431.77559150,3.00000000,4066.00000000,342888887461.78661818,1759190399543,
2025-09-28T09:00:00,4034.00000000,4104.00000000,4106.00000000,0.0173525037,KRW-XRP,2025-09-28T00:00:00,4034.00000000,50939841.49990787,70.00000000,3995.00000000,205679111730.75319205,1759103999844,
2025-09-27T09:00:00,4016.00000000,4034.00000000,4070.00000000,0.0047322540,KRW-XRP,2025-09-27T00:00:00,4015.00000000,42445199.89785138,19.00000000,3980.00000000,170282519296.85518244,1759017599964,
2025-09-26T09:00:00,3986.00000000,4015.00000000,4030.00000000,0.0070228242,KRW-XRP,2025-09-26T00:00:00,3987.00000000,104237800.52211205,28.00000000,3924.00000000,415398507627.82540019,1758931199802,
2025-09-25T09:00:00,4150.00000000,3987.00000000,4181.00000000,-0.0390455531,KRW-XRP,2025-09-25T00:00:00,4149.00000000,141340496.99141890,-162.00000000,3978.00000000,572803253436.32454802,1758844799457,
2025-09-24T09:00:00,4024.00000000,4149.00000000,4230.00000000,0.0308074534,KRW-XRP,2025-09-24T00:00:00,4025.00000000,96722253.95936764,124.00000000,3992.00000000,397354461132.51159849,1758758399279,
2025-09-23T09:00:00,4072.00000000,4025.00000000,4111.00000000,-0.0117849251,KRW-XRP,2025-09-23T00:00:00,4073.00000000,84179395.74285900,-48.00000000,3983.00000000,341514282794.30169859,1758671999490,
